FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Maximillian,Aarons,DEF,NOR,4400000,0,9,1.1,2.5E-07,2.04545454545455E-06,0,126185,3,20,0,0,0,0,0,2,1659,-1,0,9,1,0.4,0,1.8,0,0,1,0,0,1.3,29610,0,-1,0,0,720,844,0,0,94,Brighton,Watford,Everton,Arsenal,Southampton,0.6,0.9,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.9,0.9,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,1.1,0.6,0.6,0.6,0.8,0.6,0.6,0.6
Rolando,Aarons,MID,NEW,4900000,0,0,0,0,0,0,3853,0,0,0,0,0,0,0,0,46,-1,0,0,1,0,0,0,0,0,0,0,0,0,1299,0,-1,0,0,0,6,0,0,0,West Ham,Bournemouth,Aston Villa,Man City,Sheffield United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7800000,5,61,6.1,7.82051282051282E-07,7.82051282051282E-06,0,465824,2,10,0,0,0,8,0,7.8,43916,8,0,61,-8,0.5,0,4.2,11,0,3,0,1,46.1,3313274,1,-1,0,3,728,88750,0,0,214,Watford,Crystal Palace,Man City,West Ham,Aston Villa,7.4,8.8,7.8,8.5,9.1,6.9,8.3,7.2,7.7,7.2,7.1,9.1,6.3,8.9,6.4,9.1,9.1,7.3,9.1,6.9,8,7.2,8.8,6.8,6.4,9.1,7.3,7.5
,Adam Smith,DEF,BOU,4300000,6,16,2.7,6.27906976744186E-07,3.72093023255814E-06,0,76771,2,7,0,0,0,0,0,3.7,421,-2,0,16,2,0.7,0,2.8,0,0,2,0,0,0.5,11841,0,-1,0,0,490,1411,0,0,85,Man Utd,Newcastle,Wolverhampton,Tottenham,Crystal Palace,3.1,2.9,2.2,2.3,2.3,2.4,2,2.4,2.5,1.8,2.5,3.1,1.9,2.4,3.5,2.6,1.6,2.4,2.3,3.1,2.1,3.6,2,3.1,2.7,2,2.1,2.6
Che,Adams,FWD,SOU,5500000,0,16,2.3,4.18181818181818E-07,2.90909090909091E-06,0,79815,0,7,0,0,0,0,0,2.9,1582,-5,0,16,5,0,0,0.2,0,0,2,0,1,0.4,25650,0,-1,0,0,454,336,0,0,26,Man City,Everton,Arsenal,Watford,Norwich,2.3,2,2,1.9,2.6,1.7,1.6,1.9,2.3,1.7,2.2,1.7,1.2,1.9,2.1,1.9,1.9,2,1.5,2.7,1.8,2.3,1.4,1.9,2.1,1.7,2.1,1.2
,Adrian,GLK,LIV,4400000,0,23,2.9,6.59090909090909E-07,5.22727272727273E-06,0,414258,1,6,0,12,0,0,0,5.1,36090,-1,1,23,1,0.4,0,1.8,0,0,2,0,0,3.9,575038,0,-1,0,0,681,812,-1,0,105,Aston Villa,Man City,Crystal Palace,Brighton,Everton,2.9,2.1,2.8,2.5,3.9,2,3.3,0,2.3,2.4,2.6,2.7,3.3,2.5,2.3,2.3,3.2,3,2.1,3,3.3,2.4,3.7,2.2,2.5,2.2,2.6,3.4
Sergio,Aguero,FWD,MCI,12100000,1,62,6.9,5.70247933884298E-07,5.12396694214876E-06,0,842259,0,8,0,0,0,8,0,5.1,191123,1,1,62,-1,0.1,0,1.8,6,0,2,0,3,26.2,1279284,0,-1,0,2,574,16490,-1,0,258,Southampton,Liverpool,Chelsea,Newcastle,Burnley,8.1,9.2,9.3,8.2,8.8,10.1,8.9,9.2,8.9,6.9,10.2,8.6,9.7,8.3,8.7,9.3,8.3,9.6,8.6,9.7,9.1,8.5,10.4,9,9,9.2,9,10
Albian,Ajeti,FWD,WHU,5800000,1,2,0.2,3.44827586206897E-08,3.44827586206897E-07,0,3935,0,1,0,0,0,0,0,0.3,52,-2,0,2,2,0.1,0,0.5,0,0,0,0,0,0,1479,0,-1,0,0,20,52,0,0,3,Newcastle,Burnley,Tottenham,Chelsea,Wolverhampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Nathan,Ake,DEF,BOU,5000000,8,38,3.8,7.6E-07,7.6E-06,0,567234,1,13,0,0,0,1,0,7.8,9306,0,-1,38,0,1.2,0,5.8,5,0,2,0,1,13.2,294832,0,-1,0,0,900,46774,1,0,203,Man Utd,Newcastle,Wolverhampton,Tottenham,Crystal Palace,5,4.6,3.8,3.9,3.9,4,3.4,4,4.2,3.2,4.2,5,3.3,4,5.5,4.4,2.8,4.1,3.9,5,3.6,5.5,3.5,5,4.4,3.5,3.6,4.2
Marc,Albrighton,MID,LEI,5300000,1,9,0.9,1.69811320754717E-07,1.69811320754717E-06,0,15757,1,2,0,0,0,0,0,1.7,536,-2,0,9,2,0.3,0,1.5,0,0,0,0,1,0.2,6290,0,-1,0,0,182,275,0,0,49,Crystal Palace,Arsenal,Brighton,Everton,Watford,0.4,0.5,0.4,0.5,0.6,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.6,0.4,0.5
