FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Maximillian,Aarons,DEF,NOR,4300000,1,27,1.4,3.25581395348837E-07,6.27906976744186E-06,0,152456,5,37,0,0,0,0,0,6.3,1782,-2,0,27,2,0.3,0,1.4,1,0,2,0,0,1.1,43733,0,-1,0,0,1710,1573,0,0,242,Man Utd,Bournemouth,Tottenham,Newcastle,Liverpool,0.7,0.9,0.8,0.9,0.9,0.7,0.8,0.7,0.7,1.3,0.7,1,0.7,1.2,0.8,0.8,0.7
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,4240,0,0,0,0,0,0,0,0,12,-2,0,0,2,0,0,0,0,0,0,0,0,0,1399,0,-1,0,0,0,7,0,0,0,Wolverhampton,Chelsea,Everton,Norwich,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7800000,5,115,5.8,7.43589743589744E-07,1.47435897435897E-05,0,2954498,2,22,0,0,0,12,0,14.7,73176,8,0,115,-8,0.6,0,4.6,20,0,5,0,4,33.3,4904810,1,-1,0,4,1570,123378,0,0,361,Burnley,Newcastle,Arsenal,Leicester,Man Utd,7.7,6.5,7.8,6.8,8.4,8.1,7.6,7.7,7.2,7.6,7.4,8.1,7.3,6.2,8,6.7,7.3
,Adam Smith,DEF,BOU,4300000,0,32,1.52380952380952,3.5437430786268E-07,7.44186046511628E-06,0,129865,2,12,0,0,0,0,0,7.4,1437,-2,0,32,2,0,0,0,3,0,3,0,1,0.4,58972,0,-1,0,1,837,20,0,0,163,Watford,Norwich,Brighton,Aston Villa,Sheffield United,0,0,0,1.7,0.8,0.8,0.9,0.9,1.3,0.8,1.5,0.8,1.4,0.9,0.8,0.8,1
Che,Adams,FWD,SOU,5300000,0,26,1.7,3.20754716981132E-07,4.90566037735849E-06,0,90484,0,8,0,0,0,0,0,4.9,546,-7,0,26,7,0.2,0,1.1,0,0,3,0,1,0.3,28835,0,-1,0,0,627,276,0,0,54,Leicester,Wolverhampton,Crystal Palace,Liverpool,Burnley,1.1,1.1,1.2,1,1.2,1.4,1.2,1,1.7,1.2,1.2,1.1,1.1,1.3,1.1,1.3,0.8
,Adrian,GLK,LIV,4100000,0,25,1.25,3.04878048780488E-07,6.09756097560976E-06,0,572875,1,9,0,16,0,0,0,6.1,5776,-4,0,25,4,0,0,0.2,0,0,2,0,0,2.2,618155,0,-1,0,0,783,2588,0,0,123,Tottenham,Man Utd,Wolverhampton,West Ham,Southampton,0.7,0.8,1.5,0.6,0.7,0.9,0.6,0.7,0.7,0.9,0.6,1.3,0.6,0.6,0.6,0.6,0.8
Sergio,Aguero,FWD,MCI,11700000,0,82,5.5,4.7008547008547E-07,7.00854700854701E-06,0,2101647,0,13,0,0,0,10,0,7,20329,-3,0,82,3,0.1,0,1.7,8,0,3,0,3,11.1,1486659,0,-1,0,2,904,40368,0,0,325,Aston Villa,Crystal Palace,Sheffield United,Tottenham,West Ham,6.6,7.4,5.6,6.9,7,6.1,7.4,6.7,7.4,7.4,6,7.8,6.8,6.5,7.3,6.7,7.7
Albian,Ajeti,FWD,WHU,5700000,0,7,1,1.75438596491228E-07,1.2280701754386E-06,0,4716,0,3,0,0,0,0,0,1.2,62,-3,0,7,3,0.1,0,0.5,0,0,0,0,0,0,2047,0,-1,0,0,122,54,0,0,11,Sheffield United,Everton,Leicester,Liverpool,Brighton,0.5,0.6,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.6,0.5,0.7
Nathan,Ake,DEF,BOU,4800000,0,50,3.1,6.45833333333333E-07,1.04166666666667E-05,0,1243800,1,21,0,0,0,1,0,10.2,21238,-2,1,50,2,0,0,0.2,5,0,3,0,1,6.6,504838,0,-1,0,0,1384,231,-1,0,290,Watford,Norwich,Brighton,Aston Villa,Sheffield United,0,0,0,4.5,2.6,2.3,3,2.9,3.8,2.3,4.1,2.3,3.8,2.8,2.7,2.5,3
Marc,Albrighton,MID,LEI,5200000,0,15,0.714285714285714,1.37362637362637E-07,2.88461538461538E-06,0,20469,1,7,0,0,0,0,0,2.9,260,-3,0,15,3,0.1,0,0.7,0,0,0,0,1,0.2,8428,0,-1,0,0,352,75,0,0,76,Southampton,Burnley,West Ham,Chelsea,Wolverhampton,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
