FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Maximillian,Aarons,DEF,NOR,4400000,0,3,0.5,1.13636363636364E-07,6.81818181818182E-07,0,118996,2,17,0,0,0,0,0,0.7,1120,-1,0,3,1,0,0,0.2,0,0,0,0,0,1.3,26954,0,-1,0,0,540,190,0,0,58,Bournemouth,Man Utd,Brighton,Watford,Everton,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Rolando,Aarons,MID,NEW,4900000,0,0,0,0,0,0,3662,0,0,0,0,0,0,0,0,34,-1,0,0,1,0,0,0,0,0,0,0,0,0,1279,0,-1,0,0,0,3,0,0,0,Chelsea,Wolverhampton,West Ham,Bournemouth,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7700000,8,54,6.8,8.83116883116883E-07,7.01298701298701E-06,0,358205,2,10,0,0,0,8,0,7.1,7701,7,-1,54,-7,0.9,0,6.5,11,0,1,0,0,40.4,2820051,1,-1,0,3,569,111262,1,0,201,Newcastle,Burnley,Watford,Crystal Palace,Man City,8.9,7.8,8.4,10.2,9.2,8.9,9.9,8.1,9.5,8.1,8.5,8.5,8.3,10,7.8,9.6,7.6,10.2,10.1,8.6,10.1,8.3,8.9,8.5,9.8,7.2,8.5,10.2,8.6,8.3
,Adam Smith,DEF,BOU,4300000,0,5,0.625,1.45348837209302E-07,1.16279069767442E-06,0,73257,1,7,0,0,0,0,0,1.2,811,-2,0,5,2,0,0,0,0,0,0,0,0,0.5,9150,0,-1,0,0,310,10,0,0,39,Norwich,Watford,Man Utd,Newcastle,Wolverhampton,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3
Che,Adams,FWD,SOU,5600000,1,16,2.3,4.10714285714286E-07,2.85714285714286E-06,0,72631,0,7,0,0,0,0,0,2.9,923,-4,0,16,4,0.4,0,2,0,0,2,0,1,0.5,24213,0,-1,0,0,454,322,0,0,26,Wolverhampton,Leicester,Man City,Everton,Arsenal,1.8,1.9,2.4,2.1,2,2.5,3.3,1.7,1.4,1.9,2.5,1.9,2.3,1.7,1.2,1.6,2,1.8,1.8,2,1.4,2.9,1.7,2.7,1.6,2,1.9,1.6,2.4,1.2
,Adrian,GLK,LIV,4600000,2,23,2.9,6.30434782608696E-07,5E-06,0,198361,1,6,0,12,0,0,0,5,14628,1,0,23,-1,0.6,0,2.8,0,0,2,0,0,6.8,563381,0,-1,0,0,681,5037,0,0,105,Man Utd,Tottenham,Aston Villa,Man City,Crystal Palace,2.6,3.2,2.9,1.9,2.7,2.5,3.7,1.9,3.1,3,2.6,2.2,2.5,2.7,3.7,2.6,2.1,2,2.8,2.8,1.9,3.1,3.7,2.4,3.3,2.4,2.5,2.3,2.2,3.6
Sergio,Aguero,FWD,MCI,12200000,2,61,7.6,6.22950819672131E-07,5E-06,0,486152,0,8,0,0,0,8,0,5,16806,2,0,61,-2,0.4,0,5.2,6,0,2,0,3,29.7,1161506,0,-1,0,2,560,20524,0,0,255,Crystal Palace,Aston Villa,Southampton,Liverpool,Chelsea,9.1,10.6,8.9,10.5,10,9.6,9.6,11.4,10,11.2,10,7.5,10.8,9.8,11.4,10.4,9.6,9.8,9.4,10.2,9.1,10.9,10.3,9.2,11.4,9.8,10.1,10.1,9.9,11.4
Albian,Ajeti,FWD,WHU,5800000,0,0,0,0,0,0,3716,0,0,0,0,0,0,0,0,45,-2,0,0,2,0,0,0,0,0,0,0,0,0,1299,0,-1,0,0,0,21,0,0,0,Everton,Sheffield United,Newcastle,Burnley,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,BOU,4900000,2,22,2.8,5.71428571428571E-07,4.48979591836735E-06,0,530013,1,13,0,0,0,1,0,4.5,5336,-1,0,22,1,0.9,0,4.2,1,0,0,0,1,12,178003,0,-1,0,0,720,8672,0,0,147,Norwich,Watford,Man Utd,Newcastle,Wolverhampton,3.1,2.4,3.8,3.2,2.4,2.3,2.3,2.3,2,2.6,2.5,2,2.6,3.2,1.7,2.6,3.4,3.2,1.6,2.4,2.3,3.7,2.2,3.7,2.2,3.3,3.5,2.1,2.3,2.7
Marc,Albrighton,MID,LEI,5300000,1,8,1,1.88679245283019E-07,1.50943396226415E-06,0,14153,1,2,0,0,0,0,0,1.5,207,-2,0,8,2,0.2,0,1.2,0,0,0,0,1,0.2,5246,0,-1,0,0,164,178,0,0,40,Burnley,Southampton,Crystal Palace,Arsenal,Brighton,0.7,0.5,0.5,0.6,0.5,0.7,0.7,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.8,0.5,0.5,0.7,0.5,0.7
Toby,Alderweireld,DEF,TOT,5500000,1,20,2.5,4.54545454545455E-07,3.63636363636364E-06,0,246120,0,12,0,0,0,0,0,3.6,14332,0,0,20,0,0.6,0,3.5,1,0,1,0,1,7,195059,0,-1,0,1,720,2283,0,0,138,Watford,Liverpool,Everton,Sheffield United,West Ham,2.9,1.7,2,2.4,1.9,1.8,1.6,2.4,1.6,2.2,2.4,1.2,2,2.1,1.8,2.9,1.8,1.8,1.4,2.2,1.2,3.4,2.7,2.5,3.4,1.2,2.3,2.4,3.2,1.6
Trent,Alexander-Arnold,DEF,LIV,7200000,3,40,5,6.94444444444444E-07,5.55555555555556E-06,0,458014,2,6,0,0,0,1,0,5.6,9318,2,0,40,-2,0.6,0,4.5,3,0,2,0,3,30,868147,0,-1,0,1,720,23405,0,0,197,Man Utd,Tottenham,Aston Villa,Man City,Crystal Palace,5.8,6.8,6.4,4.6,5.9,5.6,7.1,4.5,6.7,6.5,5.8,5.2,5.7,6,7.5,5.8,5,4.8,6.2,6.2,4.5,6.3,7.5,5.5,6.9,5.5,5.6,5.2,5.2,6.6
,Alisson,GLK,LIV,5800000,0,1,0.125,2.1551724137931E-08,1.72413793103448E-07,0,1474218,0,0,0,2,0,0,0,0.2,2726,-2,0,1,2,0,0,0,0,0,0,0,0,5.6,27893,0,-1,0,0,38,7795,0,0,7,Man Utd,Tottenham,Aston Villa,Man City,Crystal Palace,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
